epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.6374,1.05218,2.9564,1.51517,0.00344,1,0.23114,0.15518,0.47398,3.51834,0.82013,8.335e-05,8.335e-05,8.335e-05
2,34.2847,0.39517,2.61741,1.15603,0.0034,1,0.56062,0.44444,0.3769,3.44645,0.57311,0.000181555,0.000181555,0.000181555
3,49.7778,0.33189,2.13356,1.09876,0.00314,0.94,0.32578,0.17809,1.0947,3.70067,1.36821,0.000277779,0.000277779,0.000277779
4,65.4197,0.26084,1.62216,1.04468,0.00339,1,0.30679,0.21208,1.36285,4.34375,1.40672,0.000372023,0.000372023,0.000372023
5,80.8435,0.26465,1.39385,0.99292,0.00336,1,0.82832,0.62506,0.8448,3.40354,1.05607,0.000464286,0.000464286,0.000464286
6,97.0151,0.23628,1.10603,0.98931,0.69191,0.3,0.33706,0.11595,2.66643,4.75606,2.3858,0.000554569,0.000554569,0.000554569
7,112.993,0.24536,0.94176,0.9965,0.82213,0.16,0.51135,0.20507,2.78539,4.53728,2.54687,0.000642872,0.000642872,0.000642872
8,128.225,0.27086,1.01182,1.00317,0.61168,0.28,0.22305,0.05463,2.78854,4.16324,2.71719,0.000729194,0.000729194,0.000729194
9,143.589,0.25413,0.94343,1.00089,0.28879,0.56,0.29457,0.1118,2.80744,5.81553,2.62633,0.000813536,0.000813536,0.000813536
10,159.31,0.31896,1.43725,1.06235,0.48746,0.83427,0.5893,0.45269,1.67074,5.16782,2.05188,0.000895897,0.000895897,0.000895897
11,175.538,0.44555,1.05007,1.25225,0.57837,0.73295,0.66796,0.56447,0.96641,3.09594,1.15717,0.000976279,0.000976279,0.000976279
12,191.258,0.2935,0.9439,1.01206,0.67998,0.42,0.55278,0.38709,1.23083,3.45288,1.31182,0.00105468,0.00105468,0.00105468
13,207.068,0.28691,0.98535,1.03809,0.55712,0.8,0.73971,0.36237,1.45428,3.56827,1.71696,0.0011311,0.0011311,0.0011311
14,222.343,0.30635,1.06714,1.04731,0.65149,0.72,0.70566,0.3864,1.17996,2.73149,1.58221,0.00120554,0.00120554,0.00120554
